Local,Comuna,Region,Grupo
29,Quilicura,Region Metropolitana,4
64,La Pintana,Region Metropolitana,5
12,Puerto Montt,Region De Los Lagos,2
67,La Florida,Region Metropolitana,4
75,Peñalolén,Region Metropolitana,2
69,Huechuraba,Region Metropolitana,2
15,Melipilla,Region Metropolitana,6
72,Renca,Region Metropolitana,5
87,Quilpué,Region De Valparaiso,4
82,La Florida,Region Metropolitana,6
4,Puerto Montt,Region De Los Lagos,4
41,Coquimbo,Region De Coquimbo,6
58,Las Condes,Region Metropolitana,3
10,San Ramón,Region Metropolitana,6
48,Ñuñoa,Region Metropolitana,4
55,Las Condes,Region Metropolitana,3
8,La Serena,Region De Coquimbo,2
73,Los Angeles,Region Del Bio - Bio,5
46,La Florida,Region Metropolitana,2
40,Quilicura,Region Metropolitana,3
25,La Reina,Region Metropolitana,4
66,Temuco,Region De La Araucania,4
44,Osorno,Region De Los Lagos,7
83,Maipú,Region Metropolitana,6
50,San Joaquín,Region Metropolitana,4
59,La Serena,Region De Coquimbo,5
57,Concepción,Region Del Bio - Bio,1
62,San Bernardo,Region Metropolitana,4
52,Puente Alto,Region Metropolitana,1
76,Valdivia,Region De Los Rios,4
84,Linares,Region Del Maule,5
63,Copiapo,Region De Atacama,4
6,Iquique,Region De Tarapaca,3
54,Viña Del Mar,Region De Valparaiso,5
16,Maipú,Region Metropolitana,5
14,Talagante,Region Metropolitana,6
42,Los Andes,Region De Valparaiso,7
7,Coronel,Region Del Bio - Bio,7
47,La Serena,Region De Coquimbo,5
17,Antofagasta,Region De Antofagasta,5
21,San Bernardo,Region Metropolitana,7
34,Los Angeles,Region Del Bio - Bio,5
60,Antofagasta,Region De Antofagasta,1
85,Rancagua,Region Del Libertador General Bernardo Ohiggins,6
35,Copiapo,Region De Atacama,5
31,Chillán,Region Del Bio - Bio,4
71,Santa Cruz,Region Del Libertador General Bernardo Ohiggins,7
38,La Florida,Region Metropolitana,1
24,Concepción,Region Del Bio - Bio,4
68,Viña Del Mar,Region De Valparaiso,1
74,Arica,Region De Arica Y Parinacota,4
22,Macul,Region Metropolitana,4
79,Temuco,Region De La Araucania,3
53,Rancagua,Region Del Libertador General Bernardo Ohiggins,3
88,Ñuñoa,Region Metropolitana,4
65,Quillota,Region De Valparaiso,7
36,Estación Central,Region Metropolitana,2
1,Quinta Normal,Region Metropolitana,5
43,Maipú,Region Metropolitana,2
27,Curicó,Region Del Maule,4
5,Calama,Region De Antofagasta,3
19,Puente Alto,Region Metropolitana,3
70,La Reina,Region Metropolitana,2
80,Talca,Region Del Maule,7
56,San Fernando,Region Del Libertador General Bernardo Ohiggins,4
2,Concepción,Region Del Bio - Bio,3
51,San Miguel,Region Metropolitana,2
13,Pudahuel,Region Metropolitana,4
86,Temuco,Region De La Araucania,3
23,Vitacura,Region Metropolitana,2
11,Lo Prado,Region Metropolitana,7
3,San Antonio,Region De Valparaiso,5
30,Conchalí,Region Metropolitana,5
77,Rancagua,Region Del Libertador General Bernardo Ohiggins,5
78,El Bosque,Region Metropolitana,6
39,Buin,Region Metropolitana,5
33,Maipú,Region Metropolitana,3
37,Recoleta,Region Metropolitana,6
61,Iquique,Region De Tarapaca,4
45,Osorno,Region De Los Lagos,6
49,Talca,Region Del Maule,6
81,Maipú,Region Metropolitana,3
32,Valparaíso,Region De Valparaiso,5
18,Punta Arenas,Region De Magallanes Y La Antartica Chilena,4
26,Cerrillos,Region Metropolitana,3
9,Villa Alemana,Region De Valparaiso,4
20,Calama,Region De Antofagasta,5
28,Ovalle,Region De Coquimbo,6
