Local,Item,Id_campaña,Fecha_inicio,Fecha_termino
10,272,29,2018-01-02,2018-04-06
48,173,15,2017-03-23,2017-04-19
48,66,11,2017-03-23,2017-07-31
19,140,24,2017-07-20,2017-08-31
48,91,28,2018-02-05,2018-03-28
48,173,30,2018-03-01,2018-04-18
48,627,27,2017-10-17,2017-11-22
48,161,2,2017-11-03,2017-11-07
85,90,29,2018-01-02,2018-04-06
48,149,18,2017-02-22,2017-03-22
48,172,11,2017-03-23,2017-07-31
40,140,24,2017-07-20,2017-08-31
48,486,28,2018-02-05,2018-03-28
48,208,30,2018-03-01,2018-04-18
48,465,27,2017-10-17,2017-11-22
48,64,2,2017-11-03,2017-11-07
34,563,29,2018-01-02,2018-04-06
48,647,12,2017-03-15,2017-07-19
48,228,18,2017-02-22,2017-03-22
48,14,11,2017-03-23,2017-07-31
68,140,24,2017-07-20,2017-08-31
48,50,28,2018-02-05,2018-03-28
48,234,32,2018-03-22,2018-04-18
48,300,26,2017-09-21,2017-12-31
48,87,2,2017-11-03,2017-11-07
43,231,29,2018-01-02,2018-04-06
48,149,12,2017-03-15,2017-07-19
48,245,18,2017-02-22,2017-03-22
48,254,11,2017-03-23,2017-07-31
52,140,24,2017-07-20,2017-08-31
48,531,28,2018-02-05,2018-03-28
48,372,32,2018-03-22,2018-04-18
48,626,27,2017-10-17,2017-11-22
48,311,2,2017-11-03,2017-11-07
8,18,29,2018-01-02,2018-04-06
48,208,15,2017-03-23,2017-04-19
48,92,5,2017-03-26,2017-09-15
48,160,11,2017-03-23,2017-07-31
43,140,24,2017-07-20,2017-08-31
51,91,28,2018-02-05,2018-03-28
48,637,30,2018-03-01,2018-04-18
48,135,26,2017-09-21,2017-12-31
48,500,2,2017-11-03,2017-11-07
87,556,29,2018-01-02,2018-04-06
48,353,12,2017-03-15,2017-07-19
48,74,5,2017-03-26,2017-09-15
48,195,9,2017-09-01,2017-09-22
46,140,24,2017-07-20,2017-08-31
51,486,28,2018-02-05,2018-03-28
48,225,30,2018-03-01,2018-04-18
48,23,27,2017-10-17,2017-11-22
48,112,2,2017-11-03,2017-11-07
1,526,29,2018-01-02,2018-04-06
48,228,12,2017-03-15,2017-07-19
48,596,5,2017-03-26,2017-09-15
48,553,11,2017-03-23,2017-07-31
38,140,24,2017-07-20,2017-08-31
51,50,28,2018-02-05,2018-03-28
48,308,32,2018-03-22,2018-04-18
48,252,27,2017-10-17,2017-11-22
48,45,2,2017-11-03,2017-11-07
76,77,29,2018-01-02,2018-04-06
48,245,12,2017-03-15,2017-07-19
48,99,5,2017-03-26,2017-09-15
48,98,11,2017-03-23,2017-07-31
57,140,24,2017-07-20,2017-08-31
51,531,28,2018-02-05,2018-03-28
48,586,30,2018-03-01,2018-04-18
48,569,26,2017-09-21,2017-12-31
48,249,2,2017-11-03,2017-11-07
71,428,29,2018-01-02,2018-04-06
48,237,12,2017-03-15,2017-07-19
48,248,5,2017-03-26,2017-09-15
48,567,11,2017-03-23,2017-07-31
51,259,28,2018-02-05,2018-03-28
48,111,31,2018-03-01,2018-04-18
48,342,26,2017-09-21,2017-12-31
48,189,2,2017-11-03,2017-11-07
57,538,29,2018-01-02,2018-04-06
48,604,12,2017-03-15,2017-07-19
48,79,5,2017-03-26,2017-09-15
48,498,11,2017-03-23,2017-07-31
5,91,28,2018-02-05,2018-03-28
48,314,31,2018-03-01,2018-04-18
48,646,27,2017-10-17,2017-11-22
48,251,2,2017-11-03,2017-11-07
57,541,29,2018-01-02,2018-04-06
48,582,12,2017-03-15,2017-07-19
48,363,5,2017-03-26,2017-09-15
